name,all_active_durations_in_seconds,timezone_of_analysis,date_of_analysis,analysis_fail,analysis_fail_reason
Activity Analysis,"453, 435, 446, 436, 450, 1160, 1541, 315, 395, 730, 1719, 594, 308, 356, 418, 1001, 910, 412, 359, 356, 720, 359, 506, 514, 507",Asia/Singapore,2015-02-05T16:00:00.000Z,null,null
Activity Analysis,"630, 600, 392, 400, 418, 427, 798, 811, 1047, 607, 1947, 1698, 341, 624, 798, 313, 1246, 463, 725, 484, 453, 373, 2478, 316, 307, 604, 672, 392, 943, 781, 309, 548",Asia/Singapore,2015-02-04T16:00:00.000Z,null,null
Activity Analysis,"408, 445, 962, 407, 430, 497, 467, 343, 2115, 815, 372, 307, 501",Asia/Singapore,2015-02-03T16:00:00.000Z,null,null
Activity Analysis,"450, 420, 465, 615, 1290, 374, 2193, 350, 794, 624, 435, 2410, 1826, 435, 578, 454, 333, 559, 390, 303, 301, 383, 326, 1415, 467, 582, 696, 732, 454, 1245, 316, 646, 518, 1192, 327, 562",Asia/Singapore,2015-02-02T16:00:00.000Z,null,null
Activity Analysis,"447, 426, 766, 621, 963, 1058, 1017, 989, 302, 302, 362, 616, 1658, 405, 1091, 1562, 1253, 314, 408, 547, 416, 402, 334, 918, 414, 830, 676, 302, 846, 378, 308, 585, 538, 561, 320, 610, 343, 450",Asia/Singapore,2015-02-01T16:00:00.000Z,null,null
Activity Analysis,"454, 455, 395, 404, 391, 961, 616, 912, 522, 319, 1598, 459, 463, 2878, 383, 331, 1093, 301, 1558, 309, 2369, 831",Asia/Singapore,2015-01-31T16:00:00.000Z,null,null
Activity Analysis,"426, 435, 444, 472, 430, 1076, 800, 2568, 353, 343, 1157, 1068, 555, 432, 342, 309, 456, 318",Asia/Singapore,2015-01-30T16:00:00.000Z,null,null
Activity Analysis,"530, 423, 435, 421, 637, 1192, 449, 1164, 1303, 404, 478, 406, 325, 332, 500, 442, 469, 469, 366, 334, 360, 342, 393",Asia/Singapore,2015-01-29T16:00:00.000Z,null,null
Activity Analysis,"426, 444, 469, 507, 901, 1261, 867, 1098, 1116, 766, 901, 1378, 316, 365, 694, 363, 301, 1502, 335, 600, 352, 494, 681, 491, 680, 529, 445, 411, 355, 442, 305, 461, 301",Asia/Singapore,2015-01-28T16:00:00.000Z,null,null
Activity Analysis,"400, 393, 423, 484, 428, 415, 1922, 334, 454, 661, 341, 487, 508, 2244, 424, 703, 536, 405, 350, 1340, 302",Asia/Singapore,2015-01-27T16:00:00.000Z,null,null
Activity Analysis,"425, 436, 1762, 714, 547, 3134, 550, 302, 302, 1095, 604, 301, 392, 1235, 1503, 438, 696, 800, 477, 568, 301, 456, 481, 477, 586, 764, 1627, 341, 768, 384, 515, 301, 380, 333, 302, 547, 387, 832",Asia/Singapore,2015-01-26T16:00:00.000Z,null,null
Activity Analysis,"1070, 414, 411, 493, 952, 5694, 342, 1873, 2918, 1491, 301, 826, 1550, 943, 420, 564, 302, 585, 329, 322, 317, 532, 630, 319, 696, 474, 474, 387, 794",Asia/Singapore,2015-01-25T16:00:00.000Z,null,null
Activity Analysis,"502, 544, 425, 465, 411, 420, 515, 395, 1238, 1096, 559, 541, 338, 826, 725, 2024, 725, 628, 883, 412, 633, 2281, 601",Asia/Singapore,2015-01-24T16:00:00.000Z,null,null
Activity Analysis,"400, 465, 439, 472, 450, 3760, 508, 1249, 331, 725, 317, 713, 817, 407, 526, 1095, 942, 691, 315, 308, 1210, 707, 845",Asia/Singapore,2015-01-23T16:00:00.000Z,null,null
Activity Analysis,"416, 414, 422, 469, 536, 528, 1076, 726, 342, 1570, 528, 868, 1040, 421, 383, 327, 535",Asia/Singapore,2015-01-22T16:00:00.000Z,null,null
Activity Analysis,"447, 588, 431, 501, 435, 1549, 364, 383, 311, 452, 435, 1536, 2933, 2402, 615, 649, 642, 301, 575, 318, 1176, 1999, 1253, 358, 487, 344, 577, 737, 538, 382, 403, 1465",Asia/Singapore,2015-01-21T16:00:00.000Z,null,null
Activity Analysis,"440, 395, 411, 435, 1686, 732, 351, 1419",Asia/Singapore,2015-01-20T16:00:00.000Z,null,null
Activity Analysis,"453, 428, 471, 425, 403, 737, 1037, 761, 400, 307, 1137, 307, 1608, 680, 327, 2322, 401, 362, 723, 502, 427, 343, 876, 496, 545, 496, 496, 1102, 691, 528, 328, 550, 477, 437, 404, 461, 389, 376, 812",Asia/Singapore,2015-01-19T16:00:00.000Z,null,null
