name,all_inactive_durations_in_seconds,timezone_of_analysis,date_of_analysis,analysis_fail,analysis_fail_reason
Activity Analysis,"504, 5113, 6919, 2230, 549, 363, 4308, 2872, 3075, 4331, 1115, 1473, 1331, 967, 418, 385, 501, 949, 413, 640, 490, 364, 458, 2990, 1450, 3311",Asia/Singapore,2015-02-06T16:00:00.000Z,null,null
Activity Analysis,"8237, 5043, 10049, 8772, 376, 879, 756, 508, 507, 460, 516, 329, 449, 325, 539, 398, 1093, 325, 635, 664, 3299, 1147, 2152",Asia/Singapore,2015-02-05T16:00:00.000Z,null,null
Activity Analysis,"1802, 3711, 3891, 3787, 13386, 7667, 1444, 722, 1601, 393, 3420, 374, 1429, 797, 3249, 1003, 773, 304, 1762, 324, 1531, 1545, 1037, 571, 793, 3790, 509, 1379, 617, 4851, 1296",Asia/Singapore,2015-02-04T16:00:00.000Z,null,null
Activity Analysis,"732, 531, 4494, 4492, 5037, 9349, 4271, 355, 677, 324, 1488, 559",Asia/Singapore,2015-02-03T16:00:00.000Z,null,null
Activity Analysis,"6031, 9130, 8923, 4315, 726, 1234, 1881, 376, 1203, 323, 2176, 754, 625, 369, 574, 748, 772, 406, 362, 317, 1566, 348, 2481, 824, 390, 1154, 467, 388, 433, 2811, 594, 372, 780, 599, 5400",Asia/Singapore,2015-02-02T16:00:00.000Z,null,null
Activity Analysis,"11031, 18270, 3134, 1478, 506, 342, 464, 1361, 962, 1186, 3522, 328, 1123, 680, 419, 312, 355, 321, 399, 1048, 1437, 1070, 1918, 1394, 307, 425, 1794, 952, 465, 2559, 477, 1024, 420, 763, 381, 424, 480",Asia/Singapore,2015-02-01T16:00:00.000Z,null,null
Activity Analysis,"13234, 2857, 4465, 3731, 325, 1810, 412, 1974, 548, 1797, 455, 922, 666, 325, 867, 351, 1901, 399, 2955, 1041",Asia/Singapore,2015-01-31T16:00:00.000Z,null,null
Activity Analysis,"2615, 5594, 5096, 12753, 1264, 1216, 651, 344, 1192, 1290, 619, 335, 2914, 2076, 1865, 423, 4229",Asia/Singapore,2015-01-30T16:00:00.000Z,null,null
Activity Analysis,"4290, 14601, 10219, 2697, 1341, 302, 2887, 1336, 1071, 515, 1072, 473, 474, 1753, 526, 539, 805, 1093, 368, 1057, 1081, 1353",Asia/Singapore,2015-01-29T16:00:00.000Z,null,null
Activity Analysis,"5423, 4393, 1497, 6963, 330, 322, 2490, 3349, 582, 2150, 662, 471, 482, 1719, 985, 731, 301, 658, 363, 467, 638, 548, 412, 2171, 613, 580, 867, 2311, 1003, 355, 496",Asia/Singapore,2015-01-28T16:00:00.000Z,null,null
Activity Analysis,"1655, 4202, 6633, 5907, 3412, 5265, 1053, 1473, 756, 1807, 319, 1450, 1118, 617, 1185, 1316, 1446, 991, 3703",Asia/Singapore,2015-01-27T16:00:00.000Z,null,null
Activity Analysis,"13278, 14085, 1195, 330, 393, 487, 393, 441, 453, 1226, 763, 562, 1549, 3047, 966, 528, 876, 492, 1574, 1443, 1238, 689, 509, 688, 389, 459, 465, 991, 480, 512, 1852, 369, 307, 335, 504, 1113, 4332",Asia/Singapore,2015-01-26T16:00:00.000Z,null,null
Activity Analysis,"7038, 5359, 7746, 8689, 474, 1943, 931, 808, 335, 958, 692, 370, 354, 512, 1112, 331, 498, 494, 797, 2634, 533, 640, 302, 536, 773, 313, 478, 3952",Asia/Singapore,2015-01-25T16:00:00.000Z,null,null
Activity Analysis,"694, 5849, 782, 1759, 1573, 1419, 10442, 4018, 441, 699, 1739, 354, 914, 1077, 334, 564, 805, 1034, 390, 3255, 1879, 3001",Asia/Singapore,2015-01-24T16:00:00.000Z,null,null
Activity Analysis,"5506, 10403, 7494, 1433, 1776, 2445, 314, 469, 578, 399, 850, 440, 571, 1324, 566, 791, 747, 360, 334, 822, 3729, 3758",Asia/Singapore,2015-01-23T16:00:00.000Z,null,null
Activity Analysis,"4301, 4841, 7419, 10751, 1362, 1712, 821, 514, 515, 3960, 321, 884, 814, 902, 485, 1570",Asia/Singapore,2015-01-22T16:00:00.000Z,null,null
Activity Analysis,"303, 4774, 3279, 11222, 5373, 346, 1752, 527, 914, 1232, 390, 4820, 4637, 1604, 632, 400, 664, 584, 2311, 1254, 1068, 458, 688, 2522, 405, 302, 449, 782, 461, 4664",Asia/Singapore,2015-01-21T16:00:00.000Z,null,null
Activity Analysis,"6476, 8127, 6368, 4585, 972, 630, 3561",Asia/Singapore,2015-01-20T16:00:00.000Z,null,null
Activity Analysis,"3813, 9628, 6032, 7292, 5007, 1235, 1717, 1146, 695, 1820, 2167, 693, 2238, 775, 2825, 766, 804, 944, 693, 547, 1524, 618, 761, 1239, 3112, 682, 402, 319, 1090, 1432, 538, 637, 639, 365, 601, 815, 965, 475, 4984",Asia/Singapore,2015-01-19T16:00:00.000Z,null,null
Activity Analysis,"3425, 4573, 1152, 368, 1464, 1907, 387, 715, 1143, 938, 704, 396, 2556, 320, 536, 1814, 1514, 472, 642, 860, 1270, 840, 1420, 477, 3838",Asia/Singapore,2015-01-18T16:00:00.000Z,null,null
Activity Analysis,"6585, 4181, 6826, 8078, 2111, 353, 1620, 320, 308, 358, 556, 400, 302, 388, 322, 2428, 884, 528, 397, 343, 746, 523, 953, 813, 576, 709, 1410, 3078, 2394, 416",Asia/Singapore,2015-01-17T16:00:00.000Z,null,null
Activity Analysis,"11284, 3999, 5815, 2761, 3947, 1684, 683, 507, 1920, 751, 1545, 844, 365, 595, 878, 567, 511, 522, 621, 2465, 322, 707, 570, 3221, 503",Asia/Singapore,2015-01-16T16:00:00.000Z,null,null
Activity Analysis,"1839, 7222, 9353, 1375, 3650, 474, 397, 461, 440, 598, 2690, 1186, 308, 1570, 1907, 489, 832, 426, 419, 2090",Asia/Singapore,2015-01-15T16:00:00.000Z,null,null
Activity Analysis,"2418, 6719, 16148, 1517, 1412, 347, 346, 1621, 934, 886, 320, 561, 1787, 2134, 474, 1381, 683, 511, 492, 774, 637, 679, 840, 1705, 808, 666, 601, 3363, 515, 514",Asia/Singapore,2015-01-14T16:00:00.000Z,null,null
Activity Analysis,"3564, 8669, 5183, 5844, 1647, 2192",Asia/Singapore,2015-01-13T16:00:00.000Z,null,null
Activity Analysis,"1378, 2178, 1775, 1118, 3070, 5850, 12727, 700, 588, 355, 379, 1454, 1612, 307, 1002, 1791, 492, 2217, 1024, 804, 321, 1183, 1565, 1331, 639, 348, 1701, 754, 634, 462, 383, 433, 1887, 794, 1681",Asia/Singapore,2015-01-12T16:00:00.000Z,null,null
Activity Analysis,"6226, 4910, 6355, 8482, 1990, 310, 1216, 634, 527, 1484, 316, 1070, 471, 438, 750, 2696, 926, 1646, 538, 1006, 1396, 1604, 472, 456, 2337, 557, 1483, 308, 2171, 1544",Asia/Singapore,2015-01-11T16:00:00.000Z,null,null
Activity Analysis,"4355, 4885, 1405, 2661, 3161, 8240, 1771, 2096, 384, 695, 1272, 5013, 1208, 1446, 703, 327, 431, 629, 2866, 396, 1812, 3924",Asia/Singapore,2015-01-10T16:00:00.000Z,null,null
Activity Analysis,"3797, 3662, 1373, 1810, 3558, 11069, 1286, 940, 1444, 703, 618, 424, 410, 384, 811, 346, 1007, 5263, 3770",Asia/Singapore,2015-01-09T16:00:00.000Z,null,null
Activity Analysis,"1463, 3125, 1119, 13286, 1870, 9640, 928, 527, 509, 1433, 461, 1670, 732, 561, 568, 1035, 954, 1126, 1401, 558, 2116, 1727, 3229",Asia/Singapore,2015-01-08T16:00:00.000Z,null,null
Activity Analysis,"3692, 1668, 3661, 3780, 10430, 4050, 1005, 350, 1856, 346, 1951, 1235, 1027, 380, 2264, 2554, 1634, 611, 691, 491, 4228, 670, 516, 579, 511, 1485, 822, 788, 555, 1359, 1200, 1586, 1230, 3937",Asia/Singapore,2015-01-07T16:00:00.000Z,null,null
Activity Analysis,"2425, 2517, 5328, 8326, 7397, 2831, 433, 1279, 1032, 1070, 459, 1546, 349, 617, 397, 436, 1301, 2943, 874, 434, 950, 998, 562, 433, 2558",Asia/Singapore,2015-01-06T16:00:00.000Z,null,null
Activity Analysis,"4656, 9295, 8395, 3051, 5586, 1000, 500, 3676, 444, 3366, 764, 1199, 373, 972, 312, 416, 576, 1655, 711, 1471, 332, 826, 920, 330, 467, 773, 1400, 530, 1610, 1036, 2103, 2565",Asia/Singapore,2015-01-05T16:00:00.000Z,null,null
Activity Analysis,"5357, 6614, 6305, 5283, 5415, 750, 3228, 1093, 791, 377, 754, 529, 927, 2291, 823, 675, 856, 797, 1145, 411, 574, 613, 3735, 318, 641, 349, 1480, 3586",Asia/Singapore,2015-01-04T16:00:00.000Z,null,null
Activity Analysis,"3583, 2890, 9814, 8664, 1265, 862, 558, 389, 1261, 363, 465, 1001, 835, 961, 494, 755, 1511, 446, 707",Asia/Singapore,2015-01-03T16:00:00.000Z,null,null
Activity Analysis,"303, 2303, 3364, 4768, 3408, 11435, 4049, 1430, 677, 3295, 381, 429, 712, 369, 939, 403, 2021, 523, 4641, 3304",Asia/Singapore,2015-01-02T16:00:00.000Z,null,null
Activity Analysis,"8074, 15543, 5027, 1361, 1742, 879, 818, 331, 1081, 357, 734, 2724, 4315, 880, 385",Asia/Singapore,2015-01-01T16:00:00.000Z,null,null
Activity Analysis,"443, 630, 4995, 18340, 447, 1257, 1287, 316, 888, 353, 1540, 2187, 507, 765, 457, 915, 2828, 719, 593, 510, 2486",Asia/Singapore,2014-12-31T16:00:00.000Z,null,null
